pais,nome_fonte,nome_padrao
ARG,Aldosivi,Aldosivi
ARG,All Boys,All Boys
ARG,Argentinos Jrs,Argentinos Jrs
ARG,Arsenal Sarandi,Arsenal Sarandi
ARG,Atl. Rafaela,Atl. Rafaela
ARG,Atl. Tucuman,Atl. Tucuman
ARG,Banfield,Banfield
ARG,Barracas Central,Barracas Central
ARG,Belgrano,Belgrano
ARG,Boca Juniors,Boca Juniors
ARG,Central Cordoba,Central Cordoba
ARG,Chacarita Juniors,Chacarita Juniors
ARG,Colon Santa FE,Colon Santa Fe
ARG,Colon Santa Fe,Colon Santa Fe
ARG,Crucero del Norte,Crucero del Norte
ARG,Defensa y Justicia,Defensa y Justicia
ARG,Dep. Riestra,Dep. Riestra
ARG,Estudiantes L.P.,Estudiantes L.P.
ARG,Estudiantes Rio Cuarto,Estudiantes Rio Cuarto
ARG,Gimnasia L.P.,Gimnasia L.P.
ARG,Gimnasia Mendoza,Gimnasia Mendoza
ARG,Godoy Cruz,Godoy Cruz
ARG,Huracan,Huracan
ARG,Ind. Rivadavia,Ind. Rivadavia
ARG,Independiente,Independiente
ARG,Instituto,Instituto
ARG,Lanus,Lanus
ARG,Newells Old Boys,Newells Old Boys
ARG,Nueva Chicago,Nueva Chicago
ARG,Olimpo Bahia Blanca,Olimpo Bahia Blanca
ARG,Patronato,Patronato
ARG,Platense,Platense
ARG,Quilmes,Quilmes
ARG,Racing Club,Racing Club
ARG,River Plate,River Plate
ARG,Rosario Central,Rosario Central
ARG,San Lorenzo,San Lorenzo
ARG,San Martin S.J.,San Martin S.J.
ARG,San Martin T.,San Martin T.
ARG,Sarmiento Junin,Sarmiento Junin
ARG,Talleres Cordoba,Talleres Cordoba
ARG,Temperley,Temperley
ARG,Tigre,Tigre
ARG,Union de Santa Fe,Union de Santa Fe
ARG,Velez Sarsfield,Velez Sarsfield
AUT,A. Klagenfurt,A. Klagenfurt
AUT,A. Lustenau,A. Lustenau
AUT,Admira,Admira
AUT,Altach,Altach
AUT,Austria Vienna,Austria Vienna
AUT,BW Linz,BW Linz
AUT,Grazer AK,Grazer AK
AUT,Grodig,Grodig
AUT,Hartberg,Hartberg
AUT,LASK,LASK
AUT,Mattersburg,Mattersburg
AUT,Neustadt,Neustadt
AUT,Ried,Ried
AUT,SK Rapid,SK Rapid
AUT,Salzburg,Salzburg
AUT,St. Polten,St. Polten
AUT,Sturm Graz,Sturm Graz
AUT,Tirol,Tirol
AUT,Wacker Innsbruck,Wacker Innsbruck
AUT,Wolfsberger AC,Wolfsberger AC
BEL,Anderlecht,Anderlecht
BEL,Antwerp,Antwerp
BEL,Beerschot VA,Beerschot VA
BEL,Cercle Brugge,Cercle Brugge
BEL,Charleroi,Charleroi
BEL,Club Brugge,Club Brugge
BEL,Dender,Dender
BEL,Eupen,Eupen
BEL,Genk,Genk
BEL,Gent,Gent
BEL,Kortrijk,Kortrijk
BEL,Mechelen,Mechelen
BEL,Mouscron,Mouscron
BEL,Oostende,Oostende
BEL,Oud-Heverlee Leuven,Oud-Heverlee Leuven
BEL,RAAL La Louviere,RAAL La Louviere
BEL,RWD Molenbeek,RWD Molenbeek
BEL,Seraing,Seraing
BEL,St Truiden,St Truiden
BEL,St. Gilloise,St. Gilloise
BEL,Standard,Standard
BEL,Waasland-Beveren,Waasland-Beveren
BEL,Waregem,Waregem
BEL,Westerlo,Westerlo
BRA,America MG,America MG
BRA,Athletico-PR,Athletico-PR
BRA,Atletico GO,Atletico GO
BRA,Atletico-MG,Atletico-MG
BRA,Avai,Avai
BRA,Bahia,Bahia
BRA,Botafogo RJ,Botafogo RJ
BRA,Bragantino,Bragantino
BRA,CSA,CSA
BRA,Ceara,Ceara
BRA,Chapecoense-SC,Chapecoense-SC
BRA,Corinthians,Corinthians
BRA,Coritiba,Coritiba
BRA,Criciuma,Criciuma
BRA,Cruzeiro,Cruzeiro
BRA,Cuiaba,Cuiaba
BRA,Figueirense,Figueirense
BRA,Flamengo RJ,Flamengo RJ
BRA,Fluminense,Fluminense
BRA,Fortaleza,Fortaleza
BRA,Goias,Goias
BRA,Gremio,Gremio
BRA,Internacional,Internacional
BRA,Joinville,Joinville
BRA,Juventude,Juventude
BRA,Mirassol,Mirassol
BRA,Nautico,Nautico
BRA,Palmeiras,Palmeiras
BRA,Parana,Parana
BRA,Ponte Preta,Ponte Preta
BRA,Portuguesa,Portuguesa
BRA,Remo,Remo
BRA,Santa Cruz,Santa Cruz
BRA,Santos,Santos
BRA,Sao Paulo,Sao Paulo
BRA,Sport Recife,Sport Recife
BRA,Vasco,Vasco
BRA,Vitoria,Vitoria
CHN,Beijing Guoan,Beijing Guoan
CHN,Beijing Renhe,Beijing Renhe
CHN,Cangzhou,Cangzhou
CHN,Changchun Yatai,Changchun Yatai
CHN,Chengdu Rongcheng,Chengdu Rongcheng
CHN,Chongqing Liangjiang Athletic,Chongqing Liangjiang Athletic
CHN,Chongqing Tonglianglong,Chongqing Tonglianglong
CHN,Dalian Pro,Dalian Pro
CHN,Dalian Yifang F.C.,Dalian Pro
CHN,Dalian Yingbo,Dalian Yingbo
CHN,Guangzhou City,Guangzhou City
CHN,Guangzhou R&F,Guangzhou City
CHN,Guangzhou Evergrande,Guangzhou FC
CHN,Guangzhou FC,Guangzhou FC
CHN,Guizhou Zhicheng,Guizhou Zhicheng
CHN,Hebei,Hebei
CHN,Henan Songshan Longmen,Henan Songshan Longmen
CHN,Jiangsu Suning,Jiangsu Suning
CHN,Liaoning,Liaoning
CHN,Liaoning Tieren,Liaoning Tieren
CHN,Meizhou Hakka,Meizhou Hakka
CHN,Nantong Zhiyun,Nantong Zhiyun
CHN,Qingdao FC,Qingdao FC
CHN,Qingdao Hainiu,Qingdao Hainiu
CHN,Qingdao West Coast,Qingdao West Coast
CHN,Shandong Luneng,Shandong Taishan
CHN,Shandong Taishan,Shandong Taishan
CHN,Shanghai Port,Shanghai Port
CHN,Shanghai SIPG,Shanghai Port
CHN,Shanghai Shenhua,Shanghai Shenhua
CHN,Shanghai Shenxin,Shanghai Shenxin
CHN,Shenzhen,Shenzhen
CHN,Shenzhen Xinpengcheng,Shenzhen Xinpengcheng
CHN,Shijiazhuang,Shijiazhuang
CHN,Tianjin Jinmen Tiger,Tianjin Jinmen Tiger
CHN,Tianjin Quanjian,Tianjin Tianhai
CHN,Tianjin Tianhai,Tianjin Tianhai
CHN,Wuhan FC,Wuhan FC
CHN,Wuhan Three Towns,Wuhan Three Towns
CHN,Yanbian,Yanbian
CHN,Yunnan Yukun,Yunnan Yukun
CHN,Hangzhou Greentown,Zhejiang Professional
CHN,Zhejiang Greentown,Zhejiang Professional
CHN,Zhejiang Professional,Zhejiang Professional
CHN,Zhejiang Yiteng,Zhejiang Yiteng
DNK,Aalborg,Aalborg
DNK,Aarhus,Aarhus
DNK,Brondby,Brondby
DNK,Esbjerg,Esbjerg
DNK,FC Copenhagen,FC Copenhagen
DNK,Fredericia,Fredericia
DNK,Helsingor,Helsingor
DNK,Hobro,Hobro
DNK,Horsens,Horsens
DNK,Hvidovre IF,Hvidovre IF
DNK,Lyngby,Lyngby
DNK,Midtjylland,Midtjylland
DNK,Nordsjaelland,Nordsjaelland
DNK,Odense,Odense
DNK,Randers FC,Randers FC
DNK,Silkeborg,Silkeborg
DNK,Sonderjyske,Sonderjyske
DNK,Vejle,Vejle
DNK,Vendsyssel,Vendsyssel
DNK,Vestsjaelland,Vestsjaelland
DNK,Viborg,Viborg
ENG,AFC Wimbledon,AFC Wimbledon
ENG,Accrington,Accrington
ENG,Aldershot,Aldershot
ENG,Altrincham,Altrincham
ENG,Arsenal,Arsenal
ENG,Aston Villa,Aston Villa
ENG,Barnet,Barnet
ENG,Barnsley,Barnsley
ENG,Barrow,Barrow
ENG,Birmingham,Birmingham
ENG,Blackburn,Blackburn
ENG,Blackpool,Blackpool
ENG,Bolton,Bolton
ENG,Boreham Wood,Boreham Wood
ENG,Boston Utd,Boston Utd
ENG,Bournemouth,Bournemouth
ENG,Brackley Town,Brackley Town
ENG,Bradford,Bradford
ENG,Braintree Town,Braintree Town
ENG,Brentford,Brentford
ENG,Brighton,Brighton
ENG,Bristol City,Bristol City
ENG,Bristol Rvs,Bristol Rvs
ENG,Bromley,Bromley
ENG,Burnley,Burnley
ENG,Burton,Burton
ENG,Cambridge,Cambridge
ENG,Cardiff,Cardiff
ENG,Carlisle,Carlisle
ENG,Charlton,Charlton
ENG,Chelsea,Chelsea
